Open_day1,Open_day2,Open_day3,High_day1,High_day2,High_day3,Low_day1,Low_day2,Low_day3,Volume_day1,Volume_day2,Volume_day3,Target
119.55,120.42,120.0,122.1,120.1,120.81,120.28,119.5,119.77,32417410.0,23191150.0,21982000.0,121.67
324.19,324.74,321.47,325.98,326.22,327.22,322.85,323.35,321.47,20028450.0,23686890.0,28432570.0,315.36
113.86,115.12,108.73,116.13,115.73,113.03,114.04,113.49,108.6,79763890.0,90398170.0,111186900.0,115.19
307.24,310.6,297.16,312.67,310.43,304.44,308.25,306.2,297.16,35217270.0,42621540.0,33090950.0,311.64
167.9,169.87,163.89,169.94,169.65,168.07,165.61,166.94,163.72,33482970.0,35779520.0,44651420.0,167.64
177.3,177.3,178.61,179.44,177.78,179.58,176.82,176.6,177.41,32395870.0,27052000.0,31306390.0,177.25
174.0,172.37,167.64,174.99,174.26,168.5,171.72,171.12,165.28,34770480.0,59332210.0,39668100.0,173.91
107.39,107.41,108.57,107.95,107.88,108.75,106.31,106.68,107.68,27744300.0,25001730.0,23606240.0,106.62
173.04,169.97,173.5,170.32,173.48,174.5,168.38,171.18,173.4,28998220.0,24683350.0,16956290.0,171.18
174.32,174.28,173.21,175.15,174.91,175.0,172.89,172.92,172.73,25737560.0,27953810.0,27817640.0,175.69
113.05,113.85,115.19,113.99,114.12,116.18,112.44,112.51,113.25,35951900.0,34494150.0,46937190.0,114.35
170.78,173.36,170.29,175.0,173.7,170.56,173.05,170.78,169.56,25558680.0,25047130.0,16041550.0,175.1
175.11,173.5,175.11,174.5,175.38,176.1,173.4,174.27,173.14,16956290.0,25129510.0,29422610.0,173.04
176.23,175.6,177.95,177.92,177.99,179.23,170.27,174.99,176.67,40396070.0,27043580.0,21218410.0,175.44
154.26,154.01,153.21,155.09,154.45,154.13,153.91,152.72,152.0,16216800.0,18631540.0,26204670.0,153.63
258.31,261.07,267.27,263.31,259.53,268.25,260.68,256.29,263.45,16810390.0,29377270.0,23693550.0,263.79
170.0,168.39,175.04,169.92,172.68,175.09,164.94,168.6,171.26,40984540.0,41335980.0,36387880.0,168.07
156.06,155.97,155.81,156.98,158.0,156.73,155.75,155.1,155.49,16861450.0,15603520.0,16243080.0,156.35
94.55,94.16,92.39,95.21,94.7,94.39,93.89,93.01,91.65,42009830.0,46858910.0,61192340.0,94.64
122.32,122.6,123.15,122.64,122.57,123.5,120.91,121.71,122.27,42832890.0,33400950.0,36912040.0,121.5
143.71,143.25,143.72,144.89,144.12,144.27,143.17,143.05,143.01,19865300.0,19970040.0,19576480.0,144.22
160.4,156.86,166.0,158.16,162.11,167.45,149.63,155.3,159.09,95497900.0,64398230.0,47597670.0,148.15
179.8,180.2,184.66,182.14,180.54,185.71,178.62,177.81,182.55,23714690.0,36529740.0,29748560.0,178.92
191.81,194.86,186.51,196.0,195.37,191.92,193.6,191.62,185.77,26932880.0,26220850.0,30684390.0,193.95
239.77,247.39,247.51,252.84,250.0,257.61,242.61,237.12,238.4,67964260.0,75058410.0,81013970.0,247.18
198.43,197.77,198.54,200.99,199.26,200.16,197.35,195.29,198.17,26067510.0,21070330.0,18220420.0,200.29
207.86,204.1,205.86,205.72,208.55,207.19,203.32,203.53,205.06,15957630.0,25897340.0,26066130.0,208.5
111.11,107.09,94.87,109.89,111.11,108.8,105.05,103.5,92.0,96531890.0,102731700.0,161882500.0,112.23
115.66,112.21,116.25,114.3,116.49,116.54,111.87,113.72,115.44,73991000.0,63712340.0,37080720.0,113.67
150.27,153.08,150.85,155.88,153.39,151.27,153.0,150.05,149.22,30483120.0,28449940.0,32018540.0,154.2
116.93,118.7,115.4,120.69,119.3,116.54,118.27,116.06,113.99,51106100.0,85436210.0,67673450.0,120.99
320.0,322.63,315.36,324.65,324.57,319.75,318.21,320.0,314.61,25141490.0,23495990.0,38190550.0,318.62
111.09,107.12,109.88,108.87,111.09,111.32,106.55,105.83,108.05,34117030.0,57097740.0,59118740.0,107.71
149.99,150.58,151.5,152.44,150.44,151.74,149.9,148.88,150.19,21466370.0,25111310.0,17170490.0,151.8
145.59,146.52,147.54,147.14,147.49,148.09,145.81,144.27,146.84,23345970.0,45579740.0,44182930.0,146.76
107.83,107.25,107.9,107.27,108.76,108.3,105.24,107.07,107.51,52955310.0,42250480.0,26645130.0,104.64
107.41,106.62,107.39,107.44,107.95,107.88,106.29,106.31,106.68,24900130.0,27744300.0,25001730.0,105.8
173.41,174.78,172.23,175.84,175.0,173.92,173.85,173.04,171.7,25100510.0,22858840.0,22401040.0,175.03
135.1,136.23,135.67,136.75,135.83,135.9,135.98,135.1,134.84,24487200.0,22163280.0,22539860.0,136.43
189.91,186.93,186.27,190.9,192.47,191.75,186.76,188.84,186.02,32879090.0,33031360.0,26544720.0,183.52
109.88,110.63,108.01,111.74,111.37,111.01,109.77,109.07,107.55,48702200.0,52033100.0,57774940.0,111.74
117.52,117.64,118.98,117.69,118.6,119.86,115.08,116.86,117.81,46301930.0,34275420.0,32063100.0,116.04
